Feature,Importance
fBodyAcc-maxInds-X,0.00036507896914849417
tBodyGyroJerkMag-sma(),0.0003642515202167514
tBodyAcc-std()-Z,0.000363634619801931
fBodyAccJerk-iqr()-Y,0.0003631891653556616
fBodyGyro-meanFreq()-Y,0.0003627320349899671
tBodyGyroJerkMag-arCoeff()4,0.0003622513368092889
fBodyGyro-iqr()-X,0.00036124722629233934
fBodyAcc-mean()-Y,0.0003570183922384874
"fBodyAccJerk-bandsEnergy()-1,24",0.0003559568026660098
tBodyGyroJerkMag-mad(),0.0003495919207118909
tBodyAccJerk-std()-Y,0.00034611531994954855
tBodyAcc-min()-X,0.00034501017722433637
tBodyGyro-sma(),0.0003438360884454486
tBodyGyroJerk-min()-Y,0.00034247316691998796
fBodyBodyGyroMag-skewness(),0.0003420612344138194
tGravityAcc-mad()-Z,0.0003419120120084631
tBodyAcc-mad()-Z,0.0003407914059339437
tBodyAccJerkMag-std(),0.0003404225248638477
"tBodyGyroJerk-arCoeff()-X,2",0.00034006893851016624
tBodyAcc-min()-Y,0.0003375823554936668
"tBodyGyroJerk-arCoeff()-Y,1",0.000336479896879921
tBodyGyroJerk-iqr()-Y,0.0003338836220703406
fBodyGyro-sma(),0.00033189854461874454
"fBodyGyro-bandsEnergy()-41,48",0.00033168876996658367
tBodyGyro-entropy()-Z,0.0003292284593558981
tBodyGyroMag-sma(),0.00032789714514391984
"fBodyAcc-bandsEnergy()-9,16",0.00032739349293578956
fBodyBodyGyroMag-max(),0.0003265077240133755
tBodyAccJerk-iqr()-Y,0.0003248423704438209
tBodyAccJerk-mad()-X,0.00032365917357685494
tBodyGyroMag-std(),0.0003168273741638739
fBodyAccJerk-skewness()-Y,0.00031645015097068937
fBodyBodyAccJerkMag-mad(),0.0003145980821857734
"fBodyAcc-bandsEnergy()-17,32",0.0003144144232590664
tBodyGyro-entropy()-Y,0.00031212640564875593
fBodyGyro-min()-X,0.00030750607464454335
fBodyBodyAccJerkMag-maxInds,0.00030735625064601165
"fBodyGyro-bandsEnergy()-25,48",0.00030626575711808953
fBodyBodyGyroJerkMag-mean(),0.0003060448676635808
"tBodyAccJerk-correlation()-X,Z",0.00030467963120045283
fBodyBodyGyroMag-sma(),0.00030428768227929527
fBodyAccJerk-energy()-Z,0.00030415578450715164
tBodyGyroJerkMag-arCoeff()1,0.00030409242786202115
"fBodyGyro-bandsEnergy()-41,48",0.0003037435339273033
tBodyAcc-max()-Z,0.0003034646692559507
"fBodyAcc-bandsEnergy()-17,32",0.00030285517124218876
"tBodyAcc-arCoeff()-Z,1",0.0002989625100225553
fBodyAccJerk-std()-Z,0.00029838042488642324
"tBodyAcc-arCoeff()-X,3",0.00029826993912907587
"fBodyAcc-bandsEnergy()-33,48",0.0002965416277089073
"tBodyAcc-arCoeff()-X,4",0.00029628072547117494
fBodyBodyAccJerkMag-kurtosis(),0.00029564328491319097
fBodyAcc-kurtosis()-Z,0.0002939686233917785
fBodyAcc-maxInds-Y,0.0002929543600243911
"fBodyGyro-bandsEnergy()-57,64",0.0002918036852603875
